account,description,debit,credit,entity,period,currency
1000,Cash,350000,0,ATLAS-GMBH,2026-06,USD
1100,Accounts Receivable,120000,0,ATLAS-GMBH,2026-06,USD
1500,Property Plant & Equipment,300000,0,ATLAS-GMBH,2026-06,USD
2000,Accounts Payable,0,80000,ATLAS-GMBH,2026-06,USD
2150,Intercompany Payable,0,100000,ATLAS-GMBH,2026-06,USD
3000,Common Stock,0,200000,ATLAS-GMBH,2026-06,USD
3100,Retained Earnings,0,150000,ATLAS-GMBH,2026-06,USD
4000,Product Revenue,0,600000,ATLAS-GMBH,2026-06,USD
5000,Cost of Goods Sold,100000,0,ATLAS-GMBH,2026-06,USD
5500,Intercompany COGS,200000,0,ATLAS-GMBH,2026-06,USD
6000,Salaries & Wages,60000,0,ATLAS-GMBH,2026-06,USD
